Id,SalePrice
1461,131657.15342737228
1462,159153.588547984
1463,184853.5609026794
1464,193332.97393269103
1465,186926.5079577781
1466,174501.60100078312
1467,171369.139177293
1468,167908.36668532854
1469,183343.67041347738
1470,125380.65925150194
1471,182295.52554139195
1472,99959.9784279015
1473,97964.83243289287
1474,148386.9905466564
1475,135654.62241566056
1476,375816.9633450818
1477,264910.9732643415
1478,291865.9122423261
1479,264514.9689456919
1480,500950.9652846298
1481,319859.77862727625
1482,207401.22448794785
1483,169669.88022450535
1484,168697.00647096004
1485,176027.68207931588
1486,193683.33663091695
1487,342869.4272998668
1488,237537.8422182349
1489,207383.25523274505
1490,216049.63224690643
1491,187282.3091370294
1492,98538.04612496824
1493,174468.88532188503
1494,287591.6911783934
1495,286632.43815543124
1496,227110.84720604907
1497,183865.28127334322
1498,159000.67084200043
1499,161487.8333050138
1500,155875.56571026047
1501,171468.96139859344
1502,156468.16147210877
1503,311445.7506084715
1504,236378.4218391099
1505,223739.7850777305
1506,193306.64798282858
1507,249172.77619794547
1508,195476.4316226126
1509,170283.59552869623
1510,148935.29706632355
1511,143163.96683103906
1512,169307.9914534544
1513,141739.59601981216
1514,158371.46394587285
1515,180841.61317503243
1516,151418.7802376638
1517,162598.4228276092
1518,129326.81981693457
1519,209340.0014775953
1520,135335.18218552365
1521,137544.92386072408
1522,170034.30504888366
1523,113722.5712605497
1524,127030.64345369476
1525,126799.09484889987
1526,118051.42916667616
1527,103493.39622562271
1528,134914.15814363994
1529,146769.07984208374
1530,169307.27029500037
1531,95573.6429927366
1532,105762.95762950748
1533,153056.21334731785
1534,116154.96270947377
1535,157044.78352569035
1536,117028.08435953983
1537,62836.46647849353
1538,173861.29473092235
1539,215406.0628739948
1540,92417.93782520291
1541,146513.55488363936
1542,138345.7658266224
1543,214923.03264189843
1544,79696.65110024366
1545,101751.62861206722
1546,124414.70784503709
1547,131573.09133046225
1548,134129.35653271826
1549,116427.84557856264
1550,137759.7094328282
1551,118334.42841036688
1552,129551.90984747432
1553,158676.11263539546
1554,112982.96061439127
1555,185945.0156428558
1556,103668.67555149933
1557,115020.47327441876
1558,98772.23097455775
1559,81881.42673133798
1560,138435.23211355312
1561,138972.36022584682
1562,130523.07287595789
1563,123513.81268396003
1564,150357.04001543473
1565,143562.531055951
1566,233368.6727256471
1567,68362.06662032072
1568,237356.47346475118
1569,147023.92912823914
1570,139773.11547767825
1571,125276.08226721534
1572,148155.73071296857
1573,235475.1615185784
1574,113721.10994847838
1575,220277.8393078595
1576,225576.7503031691
1577,196667.75152041906
1578,153270.79141545383
1579,146677.57048543316
1580,191595.11894434664
1581,153033.71635456302
1582,132480.36998990283
1583,304767.08143162983
1584,230500.29674931485
1585,142681.87212347589
1586,65467.7271965846
1587,93267.8569395759
1588,147411.6392527485
1589,98178.88411686182
1590,133975.52044747717
1591,97794.70830940954
1592,119348.53514954321
1593,123907.35316545545
1594,127399.31620133232
1595,114231.37360663587
1596,237361.80208300095
1597,193323.26665971585
1598,198112.21986943868
1599,194332.12996822892
1600,179005.95385302926
1601,74573.25026167034
1602,120115.18331506495
1603,83687.21126221576
1604,282498.6721560721
1605,236032.30850682425
1606,166474.5505579019
1607,165595.36401331515
1608,208426.87968106105
1609,197515.98595758705
1610,156755.50489151807
1611,142297.27377055943
1612,158446.0196436669
1613,155916.6430992217
1614,130515.20085201963
1615,91337.19345069097
1616,73239.94769039328
1617,93826.17354611767
1618,126546.69314077939
1619,139893.4486041919
1620,150640.07278957704
1621,133821.859686652
1622,136921.750253815
1623,287390.80055798346
1624,204798.68608814717
1625,131138.6083959926
1626,161201.1980114478
1627,187980.2328737797
1628,267211.21627678577
1629,175653.71405136885
1630,414622.81102115766
1631,223382.59887262725
1632,252917.56454353244
1633,168262.797942072
1634,185534.8996807134
1635,180760.98112803177
1636,156691.45398932503
1637,193214.33507000192
1638,203573.68242400687
1639,185362.0961570173
1640,261259.26898203965
1641,182997.32415604504
1642,230350.20257595324
1643,221673.30034485683
1644,227608.38349355085
1645,197637.093991237
1646,155758.19864095942
1647,163963.5058975252
1648,133100.47709729706
1649,137975.89161143074
1650,114971.95717033625
1651,125598.50127262401
1652,99038.60555705786
1653,99295.34271955988
1654,142709.42726362316
1655,152042.50144618415
1656,142254.25450421494
1657,144819.64320904587
1658,141274.71093190374
1659,140425.2423182825
1660,147856.5001894745
1661,468254.96320252115
1662,409063.5535240849
1663,386921.9012909357
1664,464269.9612042649
1665,320158.01120900945
1666,332354.31067239435
1667,373081.2729196447
1668,336243.10657969076
1669,300674.3016379251
1670,349480.4945632437
1671,278293.8682214186
1672,521028.9391760421
1673,302322.69152160996
1674,251242.42193643004
1675,185781.17402553328
1676,189076.86081609977
1677,219883.5621728452
1678,503297.1371434029
1679,418063.7552656721
1680,352037.89540286944
1681,271136.783194008
1682,309633.7372356609
1683,182417.16531362908
1684,169525.9662072289
1685,173072.0029485008
1686,171687.30213156945
1687,166219.06139067045
1688,186349.7748519928
1689,190510.00206467928
1690,188889.88726966002
1691,176697.9191230001
1692,254486.79061434825
1693,167402.5337753003
1694,184763.0245747884
1695,165139.73667453477
1696,261077.81147312536
1697,170186.178642594
1698,356139.55037765787
1699,331386.78766999656
1700,254516.72196148
1701,263472.81183663645
1702,252254.74222915331
1703,248726.03584383367
1704,291818.1398591819
1705,235241.8700693129
1706,441239.1068191733
1707,218392.8840173832
1708,208903.99420801122
1709,270763.35317132605
1710,223725.59757736555
1711,254568.38892821834
1712,248572.08496997898
1713,266009.50549845916
1714,221967.89648683058
1715,205779.87272704905
1716,187009.01398711765
1717,174655.4512075653
1718,144380.11199981734
1719,205594.93922059552
1720,244220.72205655146
1721,171740.783243645
1722,132481.42392819098
1723,157005.7491314949
1724,207858.70814587187
1725,236079.19167006022
1726,186859.03447815016
